馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1000,021,17/09/2023,02,狀元及第,2,12,4,33.87,34.11,-1.34,21.99,1.39,56.1,0.05,2 2 2,精靈勇士,狀元及第,當家精神,潘頓,布文,2,129,134
ST,grass,好,1000,063,01/10/2023,04,狀元及第,2,12,6,33.86,34.06,-1.24,22.11,1.51,56.17,0.27,2 3 4,勝不驕,順勢而飛,精靈勇士,艾兆禮,布文,0,115,134
HV,grass,好,1000,125,29/10/2023,05,狀元及第,2,12,1,34.25,34.65,-0.75,23.02,2.02,57.67,1.27,6 4 5,四季醒,明心知遇,當家精神,田泰安,布文,2,128,134
ST,grass,好,1000,257,17/12/2023,04,狀元及第,2,12,10,34.16,34.16,-1.29,23.2,2.6,57.36,1.31,3 1 4,賢者無敵,當家精神,傑出漢子,麥道朗,布文,2,128,134
ST,grass,好,1000,321,07/01/2024,01,狀元及第,2,12,2,34.01,34.01,-1.29,22.85,2.25,56.86,0.96,2 1 1,狀元及第,賢者無敵,包裝必勝,班德禮,布文,0,115,134
ST,grass,好,1200,376,28/01/2024,08,狀元及第,2,12,11,47.25,47.49,1.54,22.68,0.48,70.17,2.02,2 2 8,維港智能,幸運有您,福逸,楊明綸,布文,0,126,134
ST,grass,好,1000,472,03/03/2024,04,狀元及第,2,12,8,34.27,34.47,-0.98,22.59,1.99,57.06,1.01,2 2 4,緊張大師,賢者無敵,當家精神,潘頓,布文,2,132,134
ST,grass,好/快,1200,529,24/03/2024,09,狀元及第,2,12,7,45.21,45.25,-0.95,23.67,1.42,68.92,0.47,3 3 9,威力奔騰,嫡愛心,賢者無敵,班德禮,布文,1,127,134
ST,grass,好,1200,565,07/04/2024,06,狀元及第,2,12,6,45.79,45.79,-0.16,24.26,2.06,70.05,1.9,4 1 6,金鑽貴人,賢者無敵,威力奔騰,班德禮,布文,0,123,134
HV,grass,好,1000,612,24/04/2024,05,狀元及第,2,12,6,33.97,34.17,-1.23,23.29,2.29,57.46,1.06,2 2 5,電氣騎士,人和家興,緊張大師,班德禮,布文,2,135,134
ST,grass,好,1200,738,08/06/2024,06,狀元及第,2,12,4,45.26,45.34,-1.06,23.45,1.2,68.79,0.14,2 2 6,合夥奔馳,韋小寶,華麗再勝,鍾易禮,布文,2,132,134
HV,grass,好,1000,794,04/07/2024,02,狀元及第,2,12,1,33.42,33.62,-1.78,22.98,1.98,56.6,0.2,2 2 2,電氣騎士,狀元及第,美麗第一,艾道拿,布文,2,133,134
ST,grass,好/快,1000,071,01/10/2024,03,狀元及第,2,12,9,33.81,34.01,-1.29,21.94,1.34,55.95,0.05,3 5 3,美麗第一,魔術控制,狀元及第,班德禮,布文,0,115,134
ST,grass,好,1000,171,09/11/2024,09,狀元及第,2,12,1,34.17,34.49,-0.96,23.63,3.03,58.12,2.07,7 7 9,魔術控制,氣勢,我為您,布文,布文,2,135,134
ST,dirt,好,1200,227,01/12/2024,12,狀元及第,2,12,11,45.2,46.32,-0.08,23.86,1.91,70.18,1.83,12 12 12,昇瀧駒,同祥和順,龍之輝,艾道拿,布文,2,131,134
ST,grass,好,1000,310,01/01/2025,04,狀元及第,2,12,6,33.8,33.8,-1.5,22.86,2.26,56.66,0.76,1 1 4,嫡愛心,魔術控制,美麗第一,班德禮,布文,0,122,134
HV,grass,好,1000,350,15/01/2025,08,狀元及第,2,12,8,33.08,33.28,-2.12,23.53,2.53,56.81,0.41,1 2 8,天天同樂,星際快車,年少多好,貝知仁,布文,2,131,134
ST,grass,好,1000,448,23/02/2025,04,狀元及第,2,12,7,33.79,33.87,-1.58,22.88,2.28,56.75,0.7,2 2 4,魔術控制,占士德,同祥和順,班德禮,布文,2,125,134
