馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
ST,grass,好,1200,390,04/02/2024,02,競駿輝煌,11,10,1,45.95,46.31,46.31,22.93,-46.07,69.24,0.24,6 5 2,明亮天下,競駿輝煌,非凡之星,麥道朗,田泰安,3,128,115
ST,grass,好,1400,455,25/02/2024,01,競駿輝煌,11,10,8,59.49,59.77,-8.43,22.64,9.19,82.41,0.76,4 4 4 1,競駿輝煌,堅又威,縱橫天下,麥道朗,田泰安,3,132,115
ST,grass,好,1400,511,16/03/2024,01,競駿輝煌,11,10,9,58.45,58.85,-9.15,22.57,9.12,81.42,-0.03,7 7 7 1,競駿輝煌,馬林,幸運遇見,田泰安,田泰安,2,116,115
ST,grass,黏,1200,046,22/09/2024,08,競駿輝煌,11,10,6,45.68,46.16,46.16,24.07,-44.58,70.23,1.58,5 6 8,人和家興,八駿巨昇,合夥奔馳,田泰安,田泰安,2,124,115
ST,grass,好/快,1400,172,09/11/2024,05,競駿輝煌,11,10,14,57.22,58.34,-9.66,22.39,8.94,80.73,-0.72,14 14 11 5,堅又威,包裝天將,飛鷹翱翔,田泰安,田泰安,2,118,115
ST,grass,好/快,1600,208,24/11/2024,10,競駿輝煌,11,10,5,70.4,70.88,1.18,23.24,-1.31,94.12,-0.13,6 7 7 10,手機錶霸,遨遊武士,陽光勇士,田泰安,田泰安,2,118,115
ST,grass,好,1400,249,08/12/2024,05,競駿輝煌,11,10,7,58.49,59.01,-8.99,22.54,9.09,81.55,0.1,12 14 10 5,包裝天將,球星,潮州精神,田泰安,田泰安,2,119,115
ST,grass,好,1400,343,12/01/2025,02,競駿輝煌,11,10,3,57.87,58.31,-9.69,22.67,9.22,80.98,-0.47,7 7 7 2,球星,競駿輝煌,玩笑,潘頓,田泰安,2,124,115
ST,grass,好,1400,392,31/01/2025,06,競駿輝煌,11,10,6,57.91,58.55,-9.45,23.02,9.57,81.57,0.12,6 7 8 6,堅又威,一先生,舞林密碼,潘頓,田泰安,2,123,115
ST,grass,好/快,1400,473,02/03/2025,01,競駿輝煌,11,10,6,58.36,58.76,-9.24,22.15,8.7,80.91,-0.54,10 7 5 1,競駿輝煌,健康愉快,舞林密碼,艾道拿,田泰安,2,124,115
ST,grass,好/快,1400,525,23/03/2025,02,競駿輝煌,11,10,8,57.06,57.66,-10.34,22.36,8.91,80.02,-1.43,8 8 6 2,包裝天將,競駿輝煌,開心寶寶,艾道拿,田泰安,2,131,115
ST,grass,好,1400,623,27/04/2025,08,競駿輝煌,11,10,7,58.69,59.45,-8.55,22.6,9.15,82.05,0.6,10 10 10 8,笑傲江湖,但求開心,太陽勇士,艾道拿,田泰安,2,130,115
ST,grass,好,1400,700,25/05/2025,03,競駿輝煌,11,10,7,58.59,58.83,-9.17,22.63,9.18,81.46,0.01,4 4 4 3,包裝天將,舞林密碼,競駿輝煌,艾道拿,田泰安,2,133,115
ST,grass,好/快,1400,743,08/06/2025,03,競駿輝煌,11,10,4,57.95,58.23,-9.77,22.8,9.35,81.03,-0.42,7 6 5 3,光年魅力,舞林密碼,競駿輝煌,艾道拿,田泰安,2,134,115
ST,grass,好,1400,802,01/07/2025,05,競駿輝煌,11,10,1,57.62,57.86,-10.14,23.51,10.06,81.37,-0.08,4 6 3 5,光年魅力,米奇,得道猴王,艾道拿,田泰安,2,133,115
ST,grass,好/快,1600,835,13/07/2025,05,競駿輝煌,11,10,4,70.17,71.09,1.79,22.57,-2.18,93.66,-0.39,6 6 7 5,有目共賞,越駿歡欣,美麗同享,田泰安,田泰安,1,115,115
