馬場,跑道,場地狀況,途程,場次,日期,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
HV,grass,好,1200,127,29/10/2023,02,勇敢巨星,6,1,4,47.39,47.63,0.58,22.95,0.4,70.58,0.98,5 4 2,金佰令,勇敢巨星,金哥兒,希威森,何澤堯,3,126,117
HV,grass,好,1200,194,22/11/2023,03,勇敢巨星,6,1,10,46.08,46.36,-0.69,23.82,1.27,70.18,0.58,3 3 3,快搏,有財有勢,勇敢巨星,希威森,何澤堯,3,129,117
HV,grass,好,1200,250,13/12/2023,02,勇敢巨星,6,1,10,45.85,46.21,-0.84,23.79,1.24,70.0,0.4,4 4 2,合夥雄心,勇敢巨星,有財有勢,希威森,何澤堯,3,131,117
HV,grass,好,1200,332,10/01/2024,05,勇敢巨星,6,1,8,46.75,46.95,-0.1,23.44,0.89,70.39,0.79,2 2 5,合夥雄心,寰宇豐采,有財有勢,何澤堯,何澤堯,3,133,117
HV,grass,好,1200,386,31/01/2024,08,勇敢巨星,6,1,5,46.13,46.41,-0.64,24.08,1.53,70.49,0.89,3 3 8,好友心得,美麗第一,正氣青驅,希威森,何澤堯,3,132,117
HV,grass,好,1200,595,17/04/2024,04,勇敢巨星,6,1,3,46.52,47.0,-0.05,23.78,1.23,70.78,1.18,3 3 4,八駿巨昇,無限美麗,家樂龍駒,希威森,何澤堯,3,134,117
HV,grass,好,1000,691,22/05/2024,11,勇敢巨星,6,1,7,33.81,34.85,-0.8,23.09,2.09,57.94,1.29,11 12 11,綠色好威,美麗第一,武千帥,何澤堯,何澤堯,3,128,117
ST,grass,好,1000,734,08/06/2024,05,勇敢巨星,6,1,3,33.95,34.19,-1.61,22.72,2.07,56.91,0.46,6 4 5,嘉應獎昇,水晶酒杯,萬里飛至,艾兆禮,何澤堯,3,125,117
ST,grass,好,1000,785,01/07/2024,09,勇敢巨星,6,1,2,33.89,34.17,-1.63,22.73,2.08,56.9,0.45,9 9 9,萬里飛至,英雄豪傑,綠族豐收,艾兆禮,何澤堯,3,125,117
HV,grass,好,1200,035,18/09/2024,01,勇敢巨星,6,1,6,46.4,46.64,-0.41,23.27,0.72,69.91,0.31,3 4 1,勇敢巨星,添開心,競駿非凡,何澤堯,何澤堯,3,124,117
HV,grass,好/快,1200,108,16/10/2024,01,勇敢巨星,6,1,11,46.12,46.16,-0.89,23.27,0.72,69.43,-0.17,5 3 1,勇敢巨星,多利彩駒,添開心,何澤堯,何澤堯,3,131,117
HV,grass,好,1200,164,06/11/2024,01,勇敢巨星,6,1,6,45.88,46.28,-0.77,23.23,0.68,69.51,-0.09,4 3 1,勇敢巨星,超霸勝,同祥和順,何澤堯,何澤堯,3,134,117
HV,grass,好,1000,350,15/01/2025,09,勇敢巨星,6,1,7,33.08,34.0,-1.4,23.61,2.61,57.61,1.21,9 8 9,天天同樂,星際快車,年少多好,梁家俊,何澤堯,2,125,117
HV,grass,好,1200,457,26/02/2025,03,勇敢巨星,6,1,1,46.44,46.56,-0.24,22.52,0.22,69.08,-0.02,3 2 3,小霸王,合夥奔馳,勇敢巨星,艾兆禮,何澤堯,1,116,117
HV,grass,好/快,1200,523,19/03/2025,12,勇敢巨星,6,1,9,45.46,45.78,-1.17,24.11,1.76,69.89,0.59,3 4 12,美麗緣分,晨曦儷人,魅力寶駒,巴度,何澤堯,2,126,117
ST,grass,好,1200,585,13/04/2025,07,勇敢巨星,6,1,7,44.85,45.89,-0.51,23.09,0.84,68.98,0.33,6 7 7,得道猴王,愛馬善,狀元及第,希威森,何澤堯,2,125,117
HV,grass,好/快,1000,632,30/04/2025,05,勇敢巨星,6,1,2,33.92,34.36,-1.04,22.21,1.21,56.57,0.17,4 4 5,輝煌精英,顏色之皇,狀元及第,賀銘年,何澤堯,2,124,117
HV,grass,好/黏,1200,736,04/06/2025,05,勇敢巨星,6,1,8,45.71,46.71,-0.24,23.26,0.91,69.97,0.67,10 10 5,鈦易搵,顏色之皇,好友心得,董明朗,何澤堯,2,123,117
HV,grass,好/快,1200,846,16/07/2025,08,勇敢巨星,6,1,11,45.49,46.21,-0.74,22.79,0.44,69.0,-0.3,10 10 8,美麗第一,好友心得,晨曦儷人,董明朗,何澤堯,2,117,117
ST,grass,好/快,1200,053,28/09/2025,09,勇敢巨星,6,1,8,45.37,46.17,-0.23,22.91,0.66,69.08,0.43,9 9 9,好友心得,舞林密碼,駿跑得,艾兆禮,何澤堯,2,122,117
ST,grass,好,1200,093,12/10/2025,09,勇敢巨星,6,1,2,45.02,45.46,-0.94,23.42,1.17,68.88,0.23,6 6 9,好友心得,愛馬善,水晶酒杯,艾兆禮,何澤堯,2,120,117
HV,grass,好/快,1200,148,02/11/2025,01,勇敢巨星,6,1,1,46.03,46.35,-0.7,22.92,0.37,69.27,-0.33,3 3 1,勇敢巨星,錶之極光,川河動駒,何澤堯,何澤堯,3,135,117
ST,grass,好,1000,240,07/12/2025,14,勇敢巨星,6,1,7,34.37,35.05,-0.75,23.75,3.1,58.8,2.35,7 10 14,星際快車,會長之寶,運高八斗,何澤堯,何澤堯,3,135,117
HV,grass,好,1200,352,14/01/2026,03,勇敢巨星,6,1,5,45.05,45.97,-0.98,23.52,1.17,69.49,0.19,8 8 3,風雲武士,至尊瑰寶,勇敢巨星,何澤堯,何澤堯,2,121,117
